TFUELUSDT||True|||||||||||2
TFUELUSDT|0111111011|True|1 - 2|1 - 2|1 - 2|0,5 - 1|0,5 - 1|4 - 5|4 - 5|2 - 3|1 - 2|1 - 2|1
TFUELUSDT|1011111101|True|0,25 - 0,5|1 - 2|1 - 2|1 - 2|0,5 - 1|3 - 4|4 - 5|4 - 5|2 - 3|1 - 2|1
TFUELUSDT|1101111110|True|1 - 2|0,25 - 0,5|1 - 2|1 - 2|1 - 2|3 - 4|3 - 4|4 - 5|4 - 5|2 - 3|1
TFUELUSDT|1110111111|True|1 - 2|1 - 2|0,25 - 0,5|1 - 2|1 - 2|4 - 5|3 - 4|3 - 4|4 - 5|4 - 5|1
TFUELUSDT|1111011111|False|0,5 - 1|1 - 2|1 - 2|0,25 - 0,5|1 - 2|3 - 4|4 - 5|3 - 4|3 - 4|4 - 5|1
TFUELUSDT|0111101111|True|1 - 2|0,5 - 1|1 - 2|1 - 2|0,25 - 0,5|3 - 4|3 - 4|4 - 5|3 - 4|3 - 4|1
TFUELUSDT|1011110111|False|1 - 2|1 - 2|0,5 - 1|1 - 2|1 - 2|2 - 3|3 - 4|3 - 4|4 - 5|3 - 4|1
TFUELUSDT|0101111011|False|1 - 2|1 - 2|1 - 2|0,5 - 1|1 - 2|1 - 2|2 - 3|3 - 4|3 - 4|4 - 5|1
TFUELUSDT|0010111101|True|1 - 2|1 - 2|1 - 2|1 - 2|0,5 - 1|-0,25 - -0,5|1 - 2|2 - 3|3 - 4|3 - 4|1
TFUELUSDT|1001011110|True|0,25 - 0,5|1 - 2|1 - 2|1 - 2|1 - 2|-2 - -3|-0,25 - -0,5|1 - 2|2 - 3|3 - 4|1
TFUELUSDT|1100101111|True|0,25 - 0,5|0,25 - 0,5|1 - 2|1 - 2|1 - 2|-1 - -2|-2 - -3|-0,25 - -0,5|1 - 2|2 - 3|1
TFUELUSDT|1110010111|False|1 - 2|0,25 - 0,5|0,25 - 0,5|1 - 2|1 - 2|-0,25 - -0,5|-1 - -2|-2 - -3|-0,25 - -0,5|1 - 2|1
TFUELUSDT|0111001011|False|1 - 2|1 - 2|0,25 - 0,5|0,25 - 0,5|1 - 2|0 - -0,25|-0,25 - -0,5|-1 - -2|-2 - -3|-0,25 - -0,5|1
TFUELUSDT|0011100101|True|1 - 2|1 - 2|1 - 2|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0 - -0,25|-0,25 - -0,5|-1 - -2|-2 - -3|1
TFUELUSDT|1001110010|False|1 - 2|1 - 2|1 - 2|1 - 2|0,25 - 0,5|0,5 - 1|0,5 - 1|0 - -0,25|-0,25 - -0,5|-1 - -2|1
TFUELUSDT|0100111001|True|0,25 - 0,5|1 - 2|1 - 2|1 - 2|1 - 2|0,5 - 1|0,5 - 1|0,5 - 1|0 - -0,25|-0,25 - -0,5|1
TFUELUSDT|1010011100|False|0,5 - 1|0,25 - 0,5|1 - 2|1 - 2|1 - 2|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|0 - -0,25|1
TFUELUSDT|0101001110|True|0,5 - 1|0,5 - 1|0,25 - 0,5|1 - 2|1 - 2|0,0 - 0,25|0,5 - 1|0,5 - 1|0,5 - 1|0,5 - 1|1
TFUELUSDT|1010100111|True|0,5 - 1|0,5 - 1|0,5 - 1|0,25 - 0,5|1 - 2|0,5 - 1|0,0 - 0,25|0,5 - 1|0,5 - 1|0,5 - 1|1
TFUELUSDT|1101010011|False|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|0,0 - 0,25|0,5 - 1|0,5 - 1|1
TFUELUSDT|0110101001|True|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|0,0 - 0,25|0,5 - 1|0,5 - 1|0,0 - 0,25|0,5 - 1|1
TFUELUSDT|1011010100|True|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0,0 - 0,25|0,5 - 1|0,5 - 1|0,0 - 0,25|1
TFUELUSDT|1101101010|True|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0,0 - 0,25|0,5 - 1|0,5 - 1|1
TFUELUSDT|1110110101|False|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0,0 - 0,25|0,5 - 1|1
TFUELUSDT|0111011010|True|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|0,25 - 0,5|0,0 - 0,25|1
TFUELUSDT|1011101101|True|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|0,25 - 0,5|1
TFUELUSDT|1101110110|True|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|1
TFUELUSDT|1110111011|True|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|0,5 - 1|1
TFUELUSDT|1111011101|True|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,5 - 1|0,5 - 1|0,5 - 1|0,25 - 0,5|0,5 - 1|1
TFUELUSDT|1111101110|True|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|1 - 2|0,5 - 1|0,5 - 1|0,5 - 1|0,25 - 0,5|1
TFUELUSDT|1111110111|True|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|1 - 2|1 - 2|0,5 - 1|0,5 - 1|0,5 - 1|1
TFUELUSDT|1111111011|False|0,5 - 1|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,25 - 0,5|1 - 2|1 - 2|1 - 2|0,5 - 1|0,5 - 1|1
TFUELUSDT|0111111101|True|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|0,25 - 0,5|1 - 2|1 - 2|1 - 2|1 - 2|0,5 - 1|1
TFUELUSDT|1011111110|False|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1 - 2|1 - 2|1 - 2|1
TFUELUSDT|0101111111|False|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1 - 2|1 - 2|1
TFUELUSDT|0010111111|False|0,5 - 1|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0,5 - 1|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1 - 2|1
TFUELUSDT|0001011111|True|0,5 - 1|0,5 - 1|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|-0,25 - -0,5|0,25 - 0,5|0,5 - 1|1 - 2|1 - 2|1
TFUELUSDT|1000101111|False|0,0 - 0,25|0,5 - 1|0,5 - 1|0,0 - 0,25|0,25 - 0,5|-0,25 - -0,5|-0,25 - -0,5|0,25 - 0,5|0,5 - 1|1 - 2|1
TFUELUSDT|0100010111|True|0,25 - 0,5|0,0 - 0,25|0,5 - 1|0,5 - 1|0,0 - 0,25|-0,25 - -0,5|-0,25 - -0,5|-0,25 - -0,5|0,25 - 0,5|0,5 - 1|1
